HourDK,101,147,151,153,155,157,159,161,163,165,167,169,173,175,183,185,187,190,201,210,217,219,223,230,240,250,253,259,260,265,269,270,306,316,320,326,329,330,336,340,350,360,370,376,390,400,410,420,430,440,450,461,479,480,482,492,510,530,540,550,561,563,573,575,580,607,615,621,630,657,661,665,671,706,707,710,727,730,740,741,746,751,756,760,766,773,779,787,791,810,813,820,825,840,846,849,851,860
2024-01-21T19:00:00,323994.3970530492,53107.90495886408,37950.34319319256,19257.291795179135,3142.876283519251,38932.94737180042,74905.35178272893,13527.899760748278,17915.303369885594,11790.153000064693,30190.58036210356,38206.58637224192,36716.506526399135,17754.29703978456,12710.403879600786,29436.312931014898,-15313.693819103695,455.4676545741561,27651.96774546655,24193.758081559117,35051.66419349914,47259.056206320725,25365.99189399266,24789.638804823182,23046.29676613203,50482.89862012179,22184.762440652186,51493.83444474093,26482.059556220836,55594.52053668967,16021.91987631128,33939.69828043631,40399.34187411792,50723.457670413074,29631.95686902643,102638.50795440274,34505.55195510605,59218.58641918762,13942.571683683651,15745.821926831763,22613.447649660935,47554.8120420879,68357.67092490605,35537.219300471166,37425.09656040035,17136.78502096071,29510.96379569772,29157.190668892017,23884.40657859071,16124.267965001914,28169.214505558408,184033.8011855901,59401.8175809518,20267.471211366592,12166.256141021015,7700.300975124364,44270.450379256334,42650.581452004575,64383.018787389396,55017.20210466802,135067.09330223745,9461.17662186425,58351.207272528445,63128.74427035005,66813.22477197892,70278.37898747984,80547.1771651486,71773.50641575015,88045.74279117018,55094.26293016208,58179.43995084674,27057.666361019583,10694.015288418797,35136.43822894556,24505.203668160026,44655.24513352492,11034.790668346932,60042.59624463073,59222.88566785799,6854.477107222605,43750.46364052458,243585.48738208783,31263.99648879055,104504.56487915991,49963.77149430395,21829.2798344224,40108.167763394704,42138.87329360429,146202.6903032984,26174.194792503604,79246.04003433853,33500.47713471545,17246.885344873575,31442.28939106418,53687.02011687777,19169.940769745317,144929.8047468245,69715.20500380367
2024-01-21T20:00:00,620827.1732293929,76621.81513996134,89135.63955927349,46541.73951290739,13035.744378443633,52815.08773157644,169206.49815154893,20301.329223033077,35844.94097633194,31924.438805963142,72333.15831629775,77810.51494550769,63052.30144694431,32223.487777599817,18615.88533232702,61730.63932193712,11298.130055822985,30457.467200384206,35711.233200976065,45918.44113601623,84309.37019721065,81745.56368100925,40491.04577127665,80446.52389398094,45438.74397105394,78298.12882592336,57104.456178467604,101250.67054034851,65748.94981864865,107106.6255993826,33865.04347218347,73329.89479156527,78615.33930750476,89869.43135745886,54390.97202681415,193168.58725021215,57927.521077034085,113820.95668538727,29539.829784970247,35004.08411614933,39192.63108535738,88161.32023425137,136290.28126240816,80578.17254839832,87751.35553106737,52745.157176517925,59919.685004975734,53520.0045938645,72918.88415882552,36608.63296554884,61847.57883736543,362602.7199135501,131584.48814546005,40009.71613521377,12079.66250088401,7006.48968324258,76758.52028625937,57795.27746237379,100491.85568925599,119867.4997543204,275237.9598130666,8591.128450433715,97367.67276297495,82587.71721555588,107801.98684443667,150502.69413311084,154891.3823007262,153277.42078598723,170501.01777001237,132838.52279423765,109275.21060424487,46416.68472673528,20991.417987775207,73553.55242804435,69706.04451707871,73888.7700851758,31938.151346896757,110937.50485680922,137832.71778425208,-2807.5233626427357,74462.35018206066,495641.48141272727,72375.95281073343,206513.84400271584,79994.17100573155,44945.79707582077,76155.39647993125,98837.04139649511,298411.61582021485,55423.69135340352,157274.94711787414,69037.06669632188,11309.743896454183,55581.71575388643,57447.94249749408,69122.36852460544,280271.9733073756,113635.63843642351
2024-01-21T21:00:00,883384.5122945121,111505.67546767593,129075.16845712424,55124.566010278584,19412.944580261876,91993.36356789169,252889.2784824045,40891.42409885465,42190.110924399225,46823.84541348928,104479.58804961931,108211.14777772811,134758.1099002647,45277.98789165891,24331.203706844026,89714.70541363678,15138.801809348146,20150.67568682938,61107.75622725277,60487.660025708916,105729.70653657419,115884.00589582376,51968.44023159542,111198.5708863103,67283.20699142154,114493.98782951437,80588.1043027002,147367.7617779102,88461.9694778181,149113.45588293576,44792.036953087074,107398.13881373464,122262.63973888385,138236.82090573394,79485.53526969875,270553.786292129,83186.4031894565,160880.6550918187,43345.36075748558,61201.50641635995,55201.01325075747,130723.37166693788,193091.22161082987,115159.25449495719,126249.44708096505,81002.9275337652,90105.43909224542,71763.94204271748,106429.05817637291,59200.47984913394,73862.10038130797,531609.9362515935,192792.7197539848,62153.41142230863,22881.791851124446,21501.22887699673,122640.92414144399,85549.44326575316,153081.6516193347,176515.05167894563,403726.8568601387,13875.529696794954,126754.14752636934,117639.97186780765,154996.8008958252,222479.44529960977,223269.83567948893,218464.18510193386,256147.43510232406,201555.1863040995,172316.36621715483,66637.58736364263,29996.82723577858,104685.0786766595,108697.5915076677,101921.54118524476,27104.307589568576,156105.2925967602,209368.20058361816,-6281.324065820199,108900.8645949249,701122.9537208976,105818.7933216074,318986.87327205006,124759.0542694287,71169.21422894414,107379.3835329464,144703.28771207822,446513.5904920041,88726.76258427081,246983.82840475076,93838.69267838563,7787.08148540985,76851.34048027535,84521.49545597371,107707.95838172399,441264.53142863815,163954.63049710888
2024-01-21T22:00:00,1169709.2560770577,150922.333383001,172242.0223500581,77736.69419996373,27482.73024531228,139796.28376360005,340933.84226254164,67713.64158537233,63229.574156948154,65028.49997534053,129323.83021041917,136411.48679953383,199123.99944210603,60187.07311082911,40452.65909884915,133945.18357186118,17565.03980467238,74639.00123984805,71054.37600572895,73503.55077082754,156622.3645373741,153503.1212313631,73342.12208920879,132212.7805539967,90300.70278721242,151793.3957863786,105370.11789866372,173186.06314428546,125944.7893757559,198314.52859487775,48266.86345152193,140147.4438067594,160915.2054288996,167295.194914903,83194.08094827567,382022.89429854153,110260.26689284798,207855.71387786712,56219.36130793812,69601.2135992087,89378.1910678663,157483.89195043553,253273.14789409493,147172.77662640595,142876.5676095726,105338.03184013761,115394.3643629105,97822.44813572106,141631.66388750912,69354.80081311443,102864.22373935158,684747.7687754333,250994.07761895124,95089.7397382561,35317.09962662241,17887.9311710244,162588.47850802308,123735.50029880108,210340.0109340275,237638.04986982804,534018.6386358695,18181.097020275774,205332.37468926713,177360.75234871515,196545.3762510795,277693.7681787131,285099.41517807136,275444.4882396355,329476.1838429675,266567.5182527616,227985.91116375622,94735.181125462,52060.43283769113,142321.42639697395,92514.39623950984,105073.49241945369,46698.13735272614,198292.84938148537,295568.3019856336,13743.054781916182,145573.08681449603,871622.9146821207,152258.79169757102,419214.14693480596,175202.8940645366,79266.66956782957,156432.82471436827,158747.80858783273,573063.8816594254,102737.28437983959,349801.1255031368,122533.5683237046,1775.1719837444107,110571.15374473696,124373.75619623734,128185.90285126232,621042.2237202624,222760.1083484849
2024-01-21T23:00:00,1398307.3499951959,180287.0179617486,205712.63990402012,95892.61125966729,35053.39046397481,169233.528717089,421868.06143128825,82829.98424443776,78583.86490435377,81015.137930655,157208.42142171483,164433.4130329244,264004.0643651688,78763.0388864759,44013.76318048233,159151.16697061688,25753.099195027175,91484.92159715822,88009.68849955803,87450.71963636996,191524.69260313592,177351.296449884,104066.38919408855,160375.7340886205,115711.03861310858,188361.76265382947,129431.35794989773,213894.83429699924,160385.5383598849,236553.87963489137,57235.941346364285,177031.68375649114,196104.20199077058,206646.6903609318,101225.22470490688,476870.31998653256,134471.66866353076,259459.06761776362,70936.06019881464,86363.63141461553,98116.04907113813,186110.18209466952,311102.52419707284,176462.60042107853,179135.50328153957,129965.28702948481,133032.11976086526,133652.087194636,174639.14931582884,80826.58541892021,121223.98498094502,857136.1394772223,308381.8960380914,120162.51653864335,40918.45568276004,30389.300148998296,223628.0088443305,173374.0524957733,273576.2352422019,311794.5278930576,677835.0388935856,33201.466628809714,267571.4815867118,216294.79834912246,235444.4461444192,352094.47051417595,353966.2949180973,349210.7509308586,402846.71098740416,341846.4314294575,300670.3388483952,128838.76709999915,61122.08138482273,176459.80526572152,121466.95186143895,145083.17439803327,66012.16501904135,244353.00870561416,368720.0666955926,6904.415011068879,181258.90228854757,1127453.3170453035,208980.93746639305,539847.4844432763,229156.52686667652,96754.81085269336,212806.19280134677,195018.17378327306,719237.3692747292,129790.9622078439,435733.0087284327,154229.80320780643,1061.5323474459735,135942.31619826524,156053.9652307942,164980.87481611705,779147.3404647139,283419.2861718211
2024-01-22T00:00:00,1629926.1948508122,196510.74317730687,247046.62237064107,109472.65856333791,37017.815685634065,202407.75015214263,509047.19349044084,92055.27416436214,87001.08245086257,83156.34550626588,186619.75191724717,194319.64206069344,337462.26261446,94460.47819778467,55150.79734601791,181377.302031555,27111.843060443724,121287.28509579372,102925.1749930457,103230.69624728299,219432.51451417414,219557.8040529155,90685.10096649469,204957.73973859663,138551.18393150915,224209.67782861608,156913.8766455197,268994.3409176761,175765.51711828326,288769.85901205335,65851.95554045371,211492.70804101246,231850.89205025265,242674.49563106144,128544.06528171172,567288.0648208454,162948.96917354563,305671.44058761856,83420.47373237972,93914.1945104632,121206.24225696847,231064.24779614975,367843.49512103596,212637.67444675276,208132.29074479316,155514.14170015947,164654.21816096542,161413.64422446644,218241.18528133634,102085.93596918262,152680.0083765589,1051855.0857961653,363121.21772594337,129490.6131172189,55968.56923677388,21021.30823903687,271247.86049615254,228041.18189528244,345280.0348861196,373127.438638302,831482.7313504517,25920.557346136673,339261.2427484322,285841.7899608196,296531.82296123105,410954.35478422005,442541.7982530263,417180.56949880574,502405.7231204167,416937.21245152445,373901.25559442624,196260.1715921725,83872.14245745153,210590.2730792867,151649.9752557785,179240.03179329392,66678.23361029159,300415.051637453,433963.0200542205,24588.433372139378,224445.03822004382,1375200.9574596921,264193.2635523482,645616.2679202529,269476.510317751,119745.41407792518,272852.05589092354,245386.1239185733,864142.4264398542,154134.01586059845,525252.0871255639,181653.49464106417,7391.32516198882,156945.38872754722,182134.020136038,201814.89947115653,941799.8991065482,357797.7167232374
2024-01-22T01:00:00,1849895.2024855874,217359.43293917738,284394.9826559858,123890.23081500613,42506.00049602976,241337.45495661584,592925.3437947322,100724.42164263707,96850.7282464751,75887.93284218598,214259.12020959903,228824.57545819916,402010.0149436906,109259.42409445658,61792.623976600466,208019.77528262217,33998.87128203211,140055.9002445516,116584.8266013509,124510.00532761012,252222.05024325577,250526.55143429406,110239.9312837321,234914.4246494251,159882.4834231628,268508.3786314881,168965.1757075621,295366.9778998927,204514.57509043455,337414.54758056905,76206.06136614949,250856.91859910713,267385.53382871294,270638.56448716245,142681.361748067,656298.5143267007,188852.90727937335,353314.9424617725,104604.40910357381,107931.1509521925,135552.84916894484,260718.07552746352,436075.61595238594,239014.05690505242,250339.23824306676,172781.5527621608,189762.78116702815,197338.78241373278,247774.29205188336,120009.74405313777,165777.15462927386,1285069.9187954776,410399.58314388106,151023.49541573966,71011.90186910798,32704.65014419318,333161.16891769296,273135.9300741411,427444.3689229958,447029.27695542236,1003765.9905725971,28980.13637821002,400917.1328857025,317796.0286070595,331895.3037794844,477634.76913978136,515772.3853044795,486195.86915576184,590632.178974856,496669.2180303087,448909.57938093535,236834.77801527234,99624.03157125732,249302.0071153387,178620.81149534282,222236.73398029283,80777.6028434388,366443.04863734136,507240.3038545531,27756.207513433896,265579.445821764,1641364.8827072443,344657.01472365746,760632.9217981895,319085.01031570433,145667.42980190186,343806.1456700644,306813.7681749058,1006059.047346091,190263.59040763884,614620.6176481562,228867.0721703448,2227.8535518948343,186959.23389610683,216683.5406108244,239743.17598987944,1106235.2873103584,423926.56324381294
2024-01-22T02:00:00,2065171.4789084473,248890.2980516349,320554.3609317452,144030.81121053384,43442.4685060569,247961.97410594227,670893.0381793221,118872.30070714185,115967.8993159068,91717.08118361305,271978.7107863483,256690.62402103894,468764.1047577062,103557.81439258566,70688.59305398936,232260.89714803456,34355.05321509852,141941.96597510326,143214.23889451672,133167.16365507632,261237.3208693604,287158.84069462656,122872.14290366555,239324.5233903043,182736.39734934247,311199.0495022428,202552.037757872,355865.7795810768,241321.14116288375,399595.3868600926,72510.27909024201,270705.3492267645,299970.07073178655,329429.68986312835,182720.64691244456,738630.763285072,206615.06574312414,396582.93849341734,107526.01533578883,120910.93856307039,152346.21070352197,301560.44905240735,478893.5246197562,271419.3714135372,270668.7354794123,202285.39379950825,210475.51327483906,241080.92361969667,277449.50378701516,157284.3435322184,181025.7964436336,1550846.99491813,437600.9118488989,188428.20188377018,73022.92239159928,19867.35117756098,376283.76140188036,338440.1770934902,496015.04147700104,509324.0959443581,1180576.8067303505,16250.783746849249,457847.8527164516,343099.7305838752,379913.3086306923,583126.9894036007,612503.7459836819,547782.3496684901,662726.7012272755,583599.1476661325,544469.8207800521,216941.40016162506,105851.65189621472,284607.3032949647,232310.611001488,263614.4299579804,101246.01207387753,440476.24793814623,606063.4873295594,14212.832360709728,309829.9832551917,1934457.5911797287,379672.5958053187,888247.9254137939,366064.5308492777,157524.16488954026,394787.22925522726,369799.1738538538,1165815.2864444724,220337.965020926,708705.5241701143,243743.8597209952,2425.9181036104633,230188.22877924706,240800.6150131433,301710.36549750896,1251210.538782151,470916.591110604
2024-01-22T03:00:00,2279176.4737956813,260594.36715704537,358553.8463927324,159919.86106189975,42767.37579670415,282442.78481304884,753417.1714794615,127001.41010234233,129507.61346608322,108665.23968463061,304191.9027814342,286707.33899878996,531745.6875837016,112226.1433535136,79889.15169391315,260476.85673232295,39145.734260651334,159646.54858351315,158912.84265353755,148294.9924627519,293160.25203121704,326272.7269675948,137195.6214010292,266787.23848188284,211881.41276626504,350976.8884541702,226219.06727189673,411485.4474043258,268779.8971014928,444887.4948548716,80361.56462682162,319151.2207960119,338879.4260540798,376848.65427283914,183986.20335105632,816120.3950329279,218819.72573369034,441850.7629799551,122690.01604629518,139023.10155580603,161826.241915617,335059.8438991827,544158.8295921395,299296.48392771673,310473.07585850486,217921.96849633084,233674.99702077164,275334.1261528214,304615.1846988269,173328.22232355483,199184.3935216214,1790661.919973119,486956.0134538866,214550.63694187583,82392.41771650007,32997.085048404355,443682.53841668495,395276.7407719499,566502.5291613733,588072.986163285,1343861.5205305868,26405.376403355414,536345.0440223907,386506.50582675805,435802.3753920083,654620.8274134545,688138.63525337,614971.2725867707,753730.8400544904,669605.9421581425,618996.4953558053,250733.40423157782,118712.41490682212,316489.6457447106,257029.35142123242,298778.35134350014,103789.59931521356,507367.8978826467,680638.0543609315,15243.744697999076,348362.6557283376,2195124.48394436,439211.0855364574,1007308.2370239585,419363.1444194003,187745.14382968695,460779.2596902288,423848.4965768243,1304450.4451547966,251844.36657389402,792417.8985882634,277878.56173867185,-4547.828240583396,259630.6384791793,285983.2099783595,358520.4548163596,1413552.8783122827,543431.6118659492
